Province,District,Facility Name,Source,MRF TX_CURR,DATIM TX_CURR,Mapped_MRF_Name,Mapped_DATIM_Name
Bulawayo,Bulawayo,Cowdry Park Health Centre,DPL,2252.0,250.0,Cowdray Park,Cowdry Park Health Centre
Bulawayo,Bulawayo,E.F. Watson - 100429 - Clinic,DPL,1919.0,0.0,EF Watson,None
Bulawayo,Bulawayo,Emakhandeni - 100443 - Clinic,DPL,4404.0,2743.0,Emakhandeni,Emakhandeni - 100443 - Clinic
Bulawayo,Bulawayo,Entumbane - 100449 - Clinic,DPL,2340.0,2097.0,Entumbane,Entumbane - 100449 - Clinic
Bulawayo,Bulawayo,Khami - 100733 - Clinic,DPL,3250.0,2215.0,Khami Road,Khami - 100733 - Clinic
Bulawayo,Bulawayo,Luveve - 100786 - Clinic,DPL,5079.0,3859.0,Luveve,Luveve - 100786 - Clinic
Bulawayo,Bulawayo,Magwegwe - 100824 - Clinic,DPL,3085.0,2477.0,Magwegwe,Magwegwe - 100824 - Clinic
Bulawayo,Bulawayo,Maqhawe - 100893 - Clinic,DPL,3008.0,2575.0,Maqhawe,Maqhawe - 100893 - Clinic
Bulawayo,Bulawayo,Mzilikazi - 101202 - Clinic,DPL,4361.0,4047.0,Mzilikazi,Mzilikazi - 101202 - Clinic
Bulawayo,Bulawayo,Nkulumane - 101278 - Clinic,DPL,4249.0,3760.0,Nkulumane,Nkulumane - 101278 - Clinic
Bulawayo,Bulawayo,Northern Suburbs - 101290 - Clinic,DPL,3408.0,3117.0,Northern Suburbs,Northern Suburbs - 101290 - Clinic
Bulawayo,Bulawayo,Princess Margaret - 101429 - Clinic,DPL,2582.0,2657.0,Princess Margaret,Princess Margaret - 101429 - Clinic
Bulawayo,Bulawayo,Pumula - 101432 - Clinic,DPL,3046.0,459.0,Pumula,Marula - 100910 - Clinic
Bulawayo,Bulawayo,Pumula South - 101434 - Clinic,DPL,2182.0,2169.0,Pumula South,Pumula South - 101434 - Clinic
Bulawayo,Bulawayo,United Bulawayo Hospital - 101723,DPL,5457.0,1721.0,United Bulawayo,Ubh
Bulawayo,Bulawayo,Cesshar,Mobile,0.0,382.0,No Match,Cheshuro - 100161 - Clinic
Bulawayo,Bulawayo,Cowdray Park - 100348 - Clinic,Mobile,2252.0,1854.0,Cowdray Park,Cowdray Park - 100348 - Clinic
Bulawayo,Bulawayo,Dr. Shennan - 100418 - Clinic,Mobile,861.0,845.0,Dr Shennan,Dr. Shennan - 100418 - Clinic
Bulawayo,Bulawayo,Emganwini Clinic,Mobile,18.0,17.0,Emganwini,Emganwini Clinic
Bulawayo,Bulawayo,Ingutsheni - 100638 - Central Hospital,Mobile,0.0,0.0,No Match,None
Bulawayo,Bulawayo,Mahatshula Clinic,Mobile,0.0,193.0,Mahatshula Private,Mahatshula Clinic
Bulawayo,Bulawayo,Mpilo - 101041 - Central Hospital,Mobile,0.0,0.0,No Match,None
