MRF_Province,MRF_District,MRF_Facility,Facility_datim,TX_CURR _datim,TX_CURR _mrf,Concordance,Province,District,Facility Name,Source,Source2,datim site name,facility id
Bulawayo Metropolitan,Emakhandeni,Cowdray Park Health Centre,Cowdry Park Health Centre,250,332,,Bulawayo,Bulawayo,Cowdry Park Health Centre,DPL,DPL,Cowdry Park Health Centre,142
Bulawayo Metropolitan,Northern Suburbs,EF Watson,E.F. Watson - 100429 - Clinic,1146,1919,,Bulawayo,Bulawayo,E.F. Watson - 100429 - Clinic,DPL,DPL,E.F. Watson - 100429 - Clinic,ZW090A03
Bulawayo Metropolitan,Emakhandeni,Emakhandeni,Emakhandeni - 100443 - Clinic,2743,4404,,Bulawayo,Bulawayo,Emakhandeni - 100443 - Clinic,DPL,DPL,Emakhandeni - 100443 - Clinic,ZW090A01
Bulawayo Metropolitan,Northern Suburbs,Entumbane,Entumbane - 100449 - Clinic,2097,2340,,Bulawayo,Bulawayo,Entumbane - 100449 - Clinic,DPL,DPL,Entumbane - 100449 - Clinic,ZW090A04
Bulawayo Metropolitan,Northern Suburbs,Khami Road,Khami - 100733 - Clinic,2215,3250,,Bulawayo,Bulawayo,Khami - 100733 - Clinic,DPL,DPL,Khami - 100733 - Clinic,ZW090A05
Bulawayo Metropolitan,Emakhandeni,Luveve,Luveve - 100786 - Clinic,3859,5079,,Bulawayo,Bulawayo,Luveve - 100786 - Clinic,DPL,DPL,Luveve - 100786 - Clinic,ZW090A06
Bulawayo Metropolitan,Emakhandeni,Magwegwe,Magwegwe - 100824 - Clinic,2477,3085,,Bulawayo,Bulawayo,Magwegwe - 100824 - Clinic,DPL,DPL,Magwegwe - 100824 - Clinic,ZW090A07
Bulawayo Metropolitan,Nkulumane,Maqhawe,Maqhawe - 100893 - Clinic,2575,3008,,Bulawayo,Bulawayo,Maqhawe - 100893 - Clinic,DPL,DPL,Maqhawe - 100893 - Clinic,ZW090A33
Bulawayo Metropolitan,Northern Suburbs,Mzilikazi,Mzilikazi - 101202 - Clinic,4047,4361,,Bulawayo,Bulawayo,Mzilikazi - 101202 - Clinic,DPL,DPL,Mzilikazi - 101202 - Clinic,ZW090A08
Bulawayo Metropolitan,Nkulumane,Nkulumane,Nkulumane - 101278 - Clinic,3760,4249,,Bulawayo,Bulawayo,Nkulumane - 101278 - Clinic,DPL,DPL,Nkulumane - 101278 - Clinic,ZW090A10
Bulawayo Metropolitan,Northern Suburbs,Northern Suburbs,Northern Suburbs - 101290 - Clinic,3117,3408,,Bulawayo,Bulawayo,Northern Suburbs - 101290 - Clinic,DPL,DPL,Northern Suburbs - 101290 - Clinic,ZW090A18
Bulawayo Metropolitan,Northern Suburbs,Princess Margaret,Princess Margaret - 101429 - Clinic,2657,2582,,Bulawayo,Bulawayo,Princess Margaret - 101429 - Clinic,DPL,DPL,Princess Margaret - 101429 - Clinic,ZW090A12
Bulawayo Metropolitan,Emakhandeni,Pumula,Pumula - 101432 - Clinic,2688,3046,,Bulawayo,Bulawayo,Pumula - 101432 - Clinic,DPL,DPL,Pumula - 101432 - Clinic,ZW090A13
Bulawayo Metropolitan,Emakhandeni,Pumula South,Pumula South - 101434 - Clinic,2169,2182,,Bulawayo,Bulawayo,Pumula South - 101434 - Clinic,DPL,DPL,Pumula South - 101434 - Clinic,ZW090A35
Bulawayo Metropolitan,Bulawayo Central Hospitals,United Bulawayo,United Bulawayo Hospital - 101723,1470,5457,,Bulawayo,Bulawayo,United Bulawayo Hospital - 101723,DPL,DPL,United Bulawayo Hospital - 101723 - Central Hospital,
Bulawayo Metropolitan,Northern Suburbs,Khami - Ceshhar,Cesshar,28,58,,Bulawayo,Bulawayo,Cesshar,Mobile,DPL,Cesshar,ZW090A49
Bulawayo Metropolitan,Emakhandeni,Cowdray Park,Cowdray Park - 100348 - Clinic,1854,2252,,Bulawayo,Bulawayo,Cowdray Park - 100348 - Clinic,Mobile,DPL,Cowdray Park - 100348 - Clinic,ZW090A27
Bulawayo Metropolitan,Nkulumane,Dr Shennan,Dr. Shennan - 100418 - Clinic,845,861,,Bulawayo,Bulawayo,Dr. Shennan - 100418 - Clinic,Mobile,DPL,Dr. Shennan - 100418 - Clinic,ZW090A14
Bulawayo Metropolitan,Emganwini,Emganwini,Emganwini Clinic,17,18,,Bulawayo,Bulawayo,Emganwini Clinic,Mobile,DPL,Emganwini Clinic,ZW090A65
Bulawayo Metropolitan,Ingutsheni,Ingutsheni,Ingutsheni - 100638 - Central Hospital,603,644,,Bulawayo,Bulawayo,Ingutsheni - 100638 - Central Hospital,Mobile,manual,,
Bulawayo Metropolitan,Northern Suburbs,Mahatshula,Mahatshula Clinic,193,181,,Bulawayo,Bulawayo,Mahatshula Clinic,Mobile,DPL,Mahatshula Clinic,ZW090A66
