MRF_Province,MRF_District,MRF_Facility,Facility_datim,TX_CURR _datim,TX_CURR _mrf,concordance,Province,District,Facility Name,Source
Bulawayo Metropolitan,Emakhandeni,Cowdray Park Health Centre,Cowdry Park Health Centre,250.0,332,75.0%,Bulawayo,Bulawayo,Cowdry Park Health Centre,DPL
Bulawayo Metropolitan,Northern Suburbs,EF Watson,E.F. Watson - 100429 - Clinic,1146,1919,59.0%,Bulawayo,Bulawayo,E.F. Watson - 100429 - Clinic,DPL
Bulawayo Metropolitan,Emakhandeni,Emakhandeni,Emakhandeni - 100443 - Clinic,2743.0,4404.0,62.0%,Bulawayo,Bulawayo,Emakhandeni - 100443 - Clinic,DPL
Bulawayo Metropolitan,Northern Suburbs,Entumbane,Entumbane - 100449 - Clinic,2097.0,2340.0,89.0%,Bulawayo,Bulawayo,Entumbane - 100449 - Clinic,DPL
Bulawayo Metropolitan,Northern Suburbs,Khami Road,Khami - 100733 - Clinic,2215.0,3250.0,68.0%,Bulawayo,Bulawayo,Khami - 100733 - Clinic,DPL
Bulawayo Metropolitan,Emakhandeni,Luveve,Luveve - 100786 - Clinic,3859.0,5079.0,75.0%,Bulawayo,Bulawayo,Luveve - 100786 - Clinic,DPL
Bulawayo Metropolitan,Emakhandeni,Magwegwe,Magwegwe - 100824 - Clinic,2477.0,3085.0,80.0%,Bulawayo,Bulawayo,Magwegwe - 100824 - Clinic,DPL
Bulawayo Metropolitan,Nkulumane,Maqhawe,Maqhawe - 100893 - Clinic,2575.0,3008.0,85.0%,Bulawayo,Bulawayo,Maqhawe - 100893 - Clinic,DPL
Bulawayo Metropolitan,Northern Suburbs,Mzilikazi,Mzilikazi - 101202 - Clinic,4047.0,4361.0,92.0%,Bulawayo,Bulawayo,Mzilikazi - 101202 - Clinic,DPL
Bulawayo Metropolitan,Nkulumane,Nkulumane,Nkulumane - 101278 - Clinic,3760.0,4249.0,88.0%,Bulawayo,Bulawayo,Nkulumane - 101278 - Clinic,DPL
Bulawayo Metropolitan,Northern Suburbs,Northern Suburbs,Northern Suburbs - 101290 - Clinic,3117.0,3408.0,91.0%,Bulawayo,Bulawayo,Northern Suburbs - 101290 - Clinic,DPL
Bulawayo Metropolitan,Northern Suburbs,Princess Margaret,Princess Margaret - 101429 - Clinic,2657.0,2582.0,97.0%,Bulawayo,Bulawayo,Princess Margaret - 101429 - Clinic,DPL
Bulawayo Metropolitan,Emakhandeni,Pumula,Pumula - 101432 - Clinic,2688,3046,88.0%,Bulawayo,Bulawayo,Pumula - 101432 - Clinic,DPL
Bulawayo Metropolitan,Emakhandeni,Pumula South,Pumula South - 101434 - Clinic,2169.0,2182.0,99.0%,Bulawayo,Bulawayo,Pumula South - 101434 - Clinic,DPL
Bulawayo Metropolitan,Bulawayo Central Hospitals,United Bulawayo,United Bulawayo Hospital - 101723,1470,5457,26.0%,Bulawayo,Bulawayo,United Bulawayo Hospital - 101723,DPL
Bulawayo Metropolitan,Northern Suburbs,Khami - Ceshhar,Cesshar,28,58,48.0%,Bulawayo,Bulawayo,Cesshar,Mobile
Bulawayo Metropolitan,Emakhandeni,Cowdray Park,Cowdray Park - 100348 - Clinic,1854.0,2252.0,82.0%,Bulawayo,Bulawayo,Cowdray Park - 100348 - Clinic,Mobile
Bulawayo Metropolitan,Nkulumane,Dr Shennan,Dr. Shennan - 100418 - Clinic,845.0,861.0,98.0%,Bulawayo,Bulawayo,Dr. Shennan - 100418 - Clinic,Mobile
Bulawayo Metropolitan,Emganwini,Emganwini,Emganwini Clinic,17.0,18,94.0%,Bulawayo,Bulawayo,Emganwini Clinic,Mobile
Bulawayo Metropolitan,Ingutsheni,Ingutsheni,Ingutsheni - 100638 - Central Hospital,603,644,93.0%,Bulawayo,Bulawayo,Ingutsheni - 100638 - Central Hospital,Mobile
Bulawayo Metropolitan,Northern Suburbs,Mahatshula,Mahatshula Clinic,193.0,181,93.0%,Bulawayo,Bulawayo,Mahatshula Clinic,Mobile
Bulawayo Metropolitan,Bulawayo Central Hospitals,Mpilo,Mpilo - 101041 - Central Hospital,5162,10898,47.0%,Bulawayo,Bulawayo,Mpilo - 101041 - Central Hospital,Mobile
Bulawayo Metropolitan,Emakhandeni,Njube,Njube - 101273 - Clinic,2357.0,2399.0,98.0%,Bulawayo,Bulawayo,Njube - 101273 - Clinic,Mobile
Bulawayo Metropolitan,Nkulumane,Nketa,Nketa - 101276 - Clinic,4049.0,4001.0,98.0%,Bulawayo,Bulawayo,Nketa - 101276 - Clinic,Mobile
Bulawayo Metropolitan,Nkulumane,Pelandaba,Pelandaba - 101412 - Clinic,2742.0,3255.0,84.0%,Bulawayo,Bulawayo,Pelandaba - 101412 - Clinic,Mobile
Bulawayo Metropolitan,Northern Suburbs,Thorngrove Infectious Diseases,Thorngrove,0,0,0.0%,Bulawayo,Bulawayo,Thorngrove,Mobile
Bulawayo Metropolitan,Nkulumane,Tshabalala,Tshabalala - 101710 - Clinic,1768.0,2028.0,87.0%,Bulawayo,Bulawayo,Tshabalala - 101710 - Clinic,Mobile
