Province,District,Facility,TX_CURR ,,,,,,,,,,
Bulawayo Metropolitan,Bulawayo Central Hospitals,Ingutsheni,644,,,,,,,,,,
Bulawayo Metropolitan,Bulawayo Central Hospitals,Mpilo,10898,,,,,,,,,,
Bulawayo Metropolitan,Bulawayo Central Hospitals,UBH,0,,,,,,,,,,
Bulawayo Metropolitan,Bulawayo Central Hospitals,United Bulawayo,5457,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Cowdray Park,2252,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Cowdray Park Health Centre,332,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Emakhandeni,4404,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Grassroot for soccer centre,0,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Luveve,5079,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Luveve Private,0,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Magwegwe,3085,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Njube,2399,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Pumula,3046,,,,,,,,,,
Bulawayo Metropolitan,Emakhandeni,Pumula South,2182,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Dr Shennan,861,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Emganwini,18,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Maqhawe,3008,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Nketa,4001,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Nkulumane,4249,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Pelandaba,3255,,,,,,,,,,
Bulawayo Metropolitan,Nkulumane,Tshabalala,2028,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,1 Field Ambulance Company,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,24 Hour Medical Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Blessed Heart,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Bulawayo Family Health,105,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Bulawayo Family Medical Clinic -Closed,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Bulawayo Male Circumcision Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Bulawayo Maternal Health,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Bulawayo Population Services Zimbabwe Satellite,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,CIMAS,125,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Charter House,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Conaught Health Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Corporate  24 Private,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Dr W Ndebele,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,EF Watson,1919,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Emergency Poly,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Entumbane,2340,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Galen House,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,HelpStarts Medical,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Hillside Teachers' College,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,JMN Ekusileni,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Jubilee,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Khami - Ceshhar,58,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Khami Road,3250,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,King's Maternity,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Lister House - Zimbabwe National Family Planning Services (ZNFPS),19,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Lobengula MC,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Magwegwe North Surgery,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Mahatshula,181,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Mahatshula Private,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Main Street,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Marondera Poly,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Mater Dei,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Maternal and Child Health Centre,87,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Mpilo ZNFPC,7,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Mzilikazi,4361,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,NRZ,15,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,National University of Science and Technology,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Northern Suburbs,3408,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Northlynne,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,PSI New Start,2949,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Parkade Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Princess Margaret,2582,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Pumula South Private Maternity,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Railmend,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Royal Women's,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Schweppes Pvt  Zimbabwe,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Silver Oaks Medical Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Tembi Home Health Centre,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Thorngrove Infectious Diseases,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Tshabalala Pvt Maternity,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,ZNA Braddy BarracksClinic,0,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,ZPS Bulawayo Prison,180,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,ZRP Rosecamp,535,,,,,,,,,,
Bulawayo Metropolitan,Northern Suburbs,Zimbabwe Power Company,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,CIMAS Makoni,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Chitungwiza New Start Centre Town Centre,1580,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Chitungwiza Population Services Zimbabwe Centre,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Chitungwiza ZRP Camp,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Delta Beverages Chibuku,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Intersect Medical,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Makoni 24 Hour,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Manyame 24 hr Maternity,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Seke North,6824,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Seke North Mobile CeSHHAR Sister's,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Seke South,6432,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Seke South Mobile CeSHHAR Sister's,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,South Medical,1728,,,,,,,,,,
Harare Metropolitan,Chitungwiza,St Mary's,6925,,,,,,,,,,
Harare Metropolitan,Chitungwiza,St Mary’s Mobile CeSHHAR Sister's,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,St Michaels,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Theophany Health,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Trinity Family,0,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Zengeza,6252,,,,,,,,,,
Harare Metropolitan,Chitungwiza,Zengeza 2 CeSHHAR Sister's,0,,,,,,,,,,
Harare Metropolitan,Epworth,Epworth CeSHHAR Mobile Sister's,0,,,,,,,,,,
Harare Metropolitan,Epworth,Epworth Mission,2940,,,,,,,,,,
Harare Metropolitan,Epworth,Epworth Polyclinic,11460,,,,,,,,,,
Harare Metropolitan,Epworth,Epworth Population Services Zimbabwe,0,,,,,,,,,,
Harare Metropolitan,Epworth,Mabvazuva,0,,,,,,,,,,
Harare Metropolitan,Epworth,Mathew Rusike Children's Home,0,,,,,,,,,,
Harare Metropolitan,Epworth,Overspill,8190,,,,,,,,,,
Harare Metropolitan,Epworth,Robert Mugabe International Airport,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Annexe,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza,4620,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza Casualty,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza Maternity Services,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza OPD,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza Peadiatrics,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Chitungwiza Staff,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Casualty,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Family Planning,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Group of,5965,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Mbuya Nehanda Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa OPD,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Radiotherapy,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Sekuru Kaguvi,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Staff,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Parirenyatwa Zimbabwe Traditional Chineese Medicine Acupunture Center,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital  Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital Casualty,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital OPD,4236,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital Paediatric,641,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital Psychiatric,0,,,,,,,,,,
Harare Metropolitan,Harare Central Hospitals,Sally Mugabe Central Hospital Staff,0,,,,,,,,,,
Harare Metropolitan,Harare City,ACI medical center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Adventist Health,0,,,,,,,,,,
Harare Metropolitan,Harare City,Arcadia,973,,,,,,,,,,
Harare Metropolitan,Harare City,Arcadia Medical Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Avenues,0,,,,,,,,,,
Harare Metropolitan,Harare City,Avondale,1314,,,,,,,,,,
Harare Metropolitan,Harare City,Baines Avenue,0,,,,,,,,,,
Harare Metropolitan,Harare City,Beatrice Road,3032,,,,,,,,,,
Harare Metropolitan,Harare City,Belvedere Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Belvedere Population Services Zimbabwe Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Belvedere Satellite,1840,,,,,,,,,,
Harare Metropolitan,Harare City,Blue Waters Pvt,0,,,,,,,,,,
Harare Metropolitan,Harare City,Bluff hill maternity centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Borrowdale,1268,,,,,,,,,,
Harare Metropolitan,Harare City,Braeside FHS,509,,,,,,,,,,
Harare Metropolitan,Harare City,Budiriro Poly,5331,,,,,,,,,,
Harare Metropolitan,Harare City,Budiriro Satellite,1533,,,,,,,,,,
Harare Metropolitan,Harare City,CBD Specialist Hospital and Maternity,0,,,,,,,,,,
Harare Metropolitan,Harare City,CIMAS Borrowdale,0,,,,,,,,,,
Harare Metropolitan,Harare City,Cambridge road paediatrics,0,,,,,,,,,,
Harare Metropolitan,Harare City,Chitubu Glen Norah Family Med Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Cimas Chinhoyi,0,,,,,,,,,,
Harare Metropolitan,Harare City,Corporate 24 Health Care,0,,,,,,,,,,
Harare Metropolitan,Harare City,Cytometry Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Delta Graniteside,0,,,,,,,,,,
Harare Metropolitan,Harare City,Dunameon,0,,,,,,,,,,
Harare Metropolitan,Harare City,Eastley FHS,275,,,,,,,,,,
Harare Metropolitan,Harare City,Fam Med,0,,,,,,,,,,
Harare Metropolitan,Harare City,Fife Avenue,6,,,,,,,,,,
Harare Metropolitan,Harare City,Fly High,0,,,,,,,,,,
Harare Metropolitan,Harare City,Giovanni Spagnolli,205,,,,,,,,,,
Harare Metropolitan,Harare City,Glen Norah Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Glen Norah Satellite,2349,,,,,,,,,,
Harare Metropolitan,Harare City,Glen View Maternity Home,39,,,,,,,,,,
Harare Metropolitan,Harare City,Glen View Poly,5625,,,,,,,,,,
Harare Metropolitan,Harare City,Glen View Satellite,1322,,,,,,,,,,
Harare Metropolitan,Harare City,Glen View Wellness Center,0,,,,,,,,,,
Harare Metropolitan,Harare City,Glen View Medical  Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Gonda,0,,,,,,,,,,
Harare Metropolitan,Harare City,Greendale FHS,324,,,,,,,,,,
Harare Metropolitan,Harare City,Gunhill Medical Village,0,,,,,,,,,,
Harare Metropolitan,Harare City,Harare City Private Institutions,0,,,,,,,,,,
Harare Metropolitan,Harare City,Harare Institute of Technology,0,,,,,,,,,,
Harare Metropolitan,Harare City,Harare Polytechnic,0,,,,,,,,,,
Harare Metropolitan,Harare City,Harare city centre VMMC,0,,,,,,,,,,
Harare Metropolitan,Harare City,Hatcliffe Poly,5236,,,,,,,,,,
Harare Metropolitan,Harare City,Hatfield,2717,,,,,,,,,,
Harare Metropolitan,Harare City,Highcare Medical Centre,0,,,,,,,,,,
Harare Metropolitan,Harare City,Highfield Poly,4682,,,,,,,,,,
Harare Metropolitan,Harare City,Highlands FHS,112,,,,,,,,,,
Harare Metropolitan,Harare City,Highlands Primary Care,2064,,,,,,,,,,
Harare Metropolitan,Harare City,Highview Clinic and Matenity,0,,,,,,,,,,
Harare Metropolitan,Harare City,Hope Medical,0,,,,,,,,,,
Harare Metropolitan,Harare City,Hopley,4687,,,,,,,,,,
Harare Metropolitan,Harare City,Ikor Care,0,,,,,,,,,,
